#,id,plan_tier,period,credits,rate_per_credit,price,savings_amount,savings_percentage,created_at,updated_at
1,1,5k,monthly,5000,0.002000,10.00,,,2025-11-27 17:03:26.803685 +00:00,
2,2,5k,quarterly,15000,0.001800,27.00,3.00,10,2025-11-27 17:03:26.803685 +00:00,
3,3,5k,yearly,60000,0.001600,96.00,24.00,20,2025-11-27 17:03:26.803685 +00:00,
4,4,25k,monthly,25000,0.001200,30.00,,,2025-11-27 17:03:27.458154 +00:00,
5,5,25k,quarterly,75000,0.001080,81.00,9.00,10,2025-11-27 17:03:27.458154 +00:00,
6,6,25k,yearly,300000,0.000960,288.00,72.00,20,2025-11-27 17:03:27.458154 +00:00,
7,7,100k,monthly,100000,0.000990,99.00,,,2025-11-27 17:03:28.105454 +00:00,
8,8,100k,quarterly,300000,0.000891,267.00,30.00,10,2025-11-27 17:03:28.105454 +00:00,
9,9,100k,yearly,1200000,0.000792,950.00,238.00,20,2025-11-27 17:03:28.105454 +00:00,
10,10,500k,monthly,500000,0.000398,199.00,,,2025-11-27 17:03:28.758083 +00:00,
11,11,500k,quarterly,1500000,0.000358,537.00,60.00,10,2025-11-27 17:03:28.758083 +00:00,
12,12,500k,yearly,6000000,0.000318,1910.00,478.00,20,2025-11-27 17:03:28.758083 +00:00,
13,13,1M,monthly,1000000,0.000299,299.00,,,2025-11-27 17:03:29.412532 +00:00,
14,14,1M,quarterly,3000000,0.000269,807.00,90.00,10,2025-11-27 17:03:29.412532 +00:00,
15,15,1M,yearly,12000000,0.000239,2870.00,718.00,20,2025-11-27 17:03:29.412532 +00:00,
16,16,5M,monthly,5000000,0.000200,999.00,,,2025-11-27 17:03:30.062823 +00:00,
17,17,5M,quarterly,15000000,0.000180,2697.00,300.00,10,2025-11-27 17:03:30.062823 +00:00,
18,18,5M,yearly,60000000,0.000160,9590.00,2398.00,20,2025-11-27 17:03:30.062823 +00:00,
19,19,10M,monthly,10000000,0.000160,1599.00,,,2025-11-27 17:03:30.725713 +00:00,
20,20,10M,quarterly,30000000,0.000144,4317.00,480.00,10,2025-11-27 17:03:30.725713 +00:00,
21,21,10M,yearly,120000000,0.000128,15350.00,3838.00,20,2025-11-27 17:03:30.725713 +00:00,
