company_name,company_linkedin_url,job_title,time_posted,num_applicants
Settle,https://www.linkedin.com/company/settle-data,Software Engineer Intern,,168 applicants
DW SISTERS LLC,https://www.linkedin.com/company/dwsistersllc,Back End Developer,,31 applicants
Baseten,https://www.linkedin.com/company/baseten,Software Engineer - GPU Inference,,0
NOX METALS,https://www.linkedin.com/company/noxmetals,Software Engineer,,28 applicants
Baseten,https://www.linkedin.com/company/baseten,Software Engineer - Realtime Systems,,0
OneDosh,https://www.linkedin.com/company/onedosh,Senior Backend Engineer – Fiat & Stablecoin Infrastructure,,0
SES Corporation,https://www.linkedin.com/company/ses-corporation,Software Developer,,26 applicants
Alignerr,https://www.linkedin.com/company/alignerr,Software Engineer - Python (Advanced),,0
UpSmith,https://www.linkedin.com/company/upsmith,Software Engineer,,128 applicants
"CCI- Computer Consultants International, Inc.",https://www.linkedin.com/company/cci--computer-consultants-international-inc.,Software Developer - Junior,,76 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Entry Level - Data Analyst,,83 applicants
Sundayy,https://www.linkedin.com/company/sundayyglobal,"Backend Software Engineer (Python, API)",,48 applicants
Adamson Systems Engineering,https://ca.linkedin.com/company/adamson-systems-engineering,Software Developer (on-site),,53 applicants
Asha Health (YC F24),https://www.linkedin.com/company/asha-health-ai,"Software Engineer, AI x Healthcare",,64 applicants
Avid Technology Professionals,https://www.linkedin.com/company/avid-technology-professionals,Software Engineer 1 (API),,41 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Entry Level - Data Analyst,,105 applicants
Uber,https://www.linkedin.com/company/uber-com,Software Engineer II,,77 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Entry Level - Data Analyst,,171 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Entry Level - Data Analyst,,199 applicants
Sundayy,https://www.linkedin.com/company/sundayyglobal,Backend Software Engineer,,61 applicants
Medlytix,https://www.linkedin.com/company/medlytix-llc,Junior Data Engineer,,77 applicants
Zetheta Algorithms Private Limited,https://in.linkedin.com/company/zetheta,Software Engineer,,38 applicants
Prolific,https://uk.linkedin.com/company/prolific-com,Python - Senior Developers - AI Training,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Entry Specialist - Full-Time/Part-Time,,72 applicants
Tree Top Staffing LLC,https://www.linkedin.com/company/tree-top-staffing-llc,Software Developer,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,119 applicants
VectorVue,https://ca.linkedin.com/company/vectorvue,Full Stack Software Engineer - AL/ML (Java | Angular | Python),,28 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Entry Specialist - Full-Time/Part-Time,,199 applicants
Prolific,https://uk.linkedin.com/company/prolific-com,Python - Senior Developers - AI Training - USA,,0
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Senior Software Engineer - Python, Kotlin, Terraform",,0
ALINE NETWORK,https://www.linkedin.com/company/aline-network,Founding ML Engineer,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Entry Specialist - Full-Time/Part-Time,,50 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,89 applicants
KI people,https://mx.linkedin.com/company/kipeoplemx,Android Mobile Developer,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Backend Software Engineer - Python,,46 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst-Part time,,60 applicants
Pam,https://www.linkedin.com/company/pam-ai,Senior Software Engineer,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Entry Specialist - Full-Time/Part-Time,,90 applicants
hackajob,https://uk.linkedin.com/company/hackajob,Software Engineer [Multiple Positions Available],,0
Fimple,https://uk.linkedin.com/company/fimpleos,"Fullstack or Backend Developer
İstanbul - Remote
Full-Time",,50 applicants
Fimple,https://uk.linkedin.com/company/fimpleos,"Fullstack or Backend Developer
İstanbul - Remote
Full-Time",,50 applicants
24-MAG,https://www.linkedin.com/company/24mag,Remote | Python Backend & Sandbox Integration Engineer — $60–$80/hour,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst-Part time,,197 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,95 applicants
S M Software Solutions Inc,https://ca.linkedin.com/company/smsoftwaresolutionsinc,RQ10660 - Software Developer - Junior,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst-Part time,,42 applicants
Alignerr,https://www.linkedin.com/company/alignerr,Software Engineer - Ruby,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,"Software Engineer (Python, Js)",,0
Alignerr,https://www.linkedin.com/company/alignerr,Software Engineer - YAML Experience,,0
Prolific,https://uk.linkedin.com/company/prolific-com,Python - Senior Developers - AI Training - US,,0
NOX METALS,https://www.linkedin.com/company/noxmetals,ML Engineer,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst-Part time,,44 applicants
Travoom,https://www.linkedin.com/company/travoom,Senior Rust Backend Engineer – Distributed Systems,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,"Software Engineer, Full Stack",,182 applicants
John Galt Staffing,https://www.linkedin.com/company/johngaltstaffing,Software Engineer,,63 applicants
Cuadrangular,https://mx.linkedin.com/company/cuadrangularmx,Analista Jr Análisis De Datos Digital,,0
Southern Trust Insurance Company,https://www.linkedin.com/company/southern-trust-insurance,Data Engineer,,157 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Entry Specialist - Full-Time/Part-Time,,72 applicants
Cloud Fission Company Limited,https://th.linkedin.com/company/cloud-fission-company-limited,Java Developer,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Data Entry Associate,,0
PROMEDIX® HEALTH,https://www.linkedin.com/company/promedixhealth,Frontend Developer,,48 applicants
Alignerr,https://www.linkedin.com/company/alignerr,Software Developer – AI Code Quality Specialist,,0
Altur,https://mx.linkedin.com/company/alturio,Senior Software Engineer,,0
Emerald Advantage Concepts LLC,https://www.linkedin.com/company/emerald-advantage-concepts-llc,Core Java Engineer,,26 applicants
Alignerr,https://www.linkedin.com/company/alignerr,Software Developer – AI Code Quality Specialist,,0
Alignerr,https://www.linkedin.com/company/alignerr,Software Developer – AI Code Quality Specialist,,0
Alignerr,https://www.linkedin.com/company/alignerr,Software Engineer - YAML Experience,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst-Part time,,197 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,70 applicants
Rohde & Schwarz,https://de.linkedin.com/company/rohde-schwarz,"Entry Level Software Engineer - Hillsboro, Oregon",,55 applicants
Rohde & Schwarz,https://de.linkedin.com/company/rohde-schwarz,"Entry Level Software Engineer - Hillsboro, Oregon",,55 applicants
Alignerr,https://www.linkedin.com/company/alignerr,Software Developer – AI Code Quality Specialist,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,35 applicants
DW SISTERS LLC,https://www.linkedin.com/company/dwsistersllc,Data Engineer,,62 applicants
Nelson Motors and Equipment,https://ca.linkedin.com/company/nelsonmotorsandequipment,Submit Your Resume,,0
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Entry Clerk,,73 applicants
ADF Medical,https://www.linkedin.com/company/adf-medical,Data Analyst,,39 applicants
Sundayy,https://www.linkedin.com/company/sundayyglobal,"Data Engineer, Web Scraping",,55 applicants
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Software Engineer - IaC, Kubernetes, Rancher",,0
Ledgent Technology,https://www.linkedin.com/company/ledgent-technology,Mid Unix (Linux) Engineer,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Full-Stack Software Engineer II,,62 applicants
Sports Trading Firm,https://www.linkedin.com/company/sports-trading-firm,"Co-founder, Software Engineer - Prediction Markets",,0
