company_name,company_linkedin_url,job_title,time_posted,num_applicants
Notion,https://www.linkedin.com/company/notionhq,"Software Engineer, New Grad",3 days ago,0
Netflix,https://www.linkedin.com/company/netflix,Software Engineer (L4) - Personalization,2 days ago,0
Julius AI,https://www.linkedin.com/company/julius-ai,Software Engineer - Product (New Grad),3 days ago,0
Google,https://www.linkedin.com/company/google,Software Engineer,6 days ago,0
Notion,https://www.linkedin.com/company/notionhq,"Software Engineer, Enterprise",5 days ago,0
Roku,https://www.linkedin.com/company/roku,Software Engineer,3 days ago,111 applicants
Handshake,https://www.linkedin.com/company/team-handshake,"Software Engineer I, RLE",3 days ago,0
Handshake,https://www.linkedin.com/company/team-handshake,Software Engineer,5 days ago,0
Netflix,https://www.linkedin.com/company/netflix,"Software Engineer, Media Encoding Pipelines (L4)",,0
Netflix,https://www.linkedin.com/company/netflix,Software Engineer - Customer Service Platform,3 days ago,0
Remi,https://www.linkedin.com/company/remilabs,Software Engineer I/II,2 weeks ago,0
Interco,https://www.linkedin.com/company/intercotrading,Junior Software Developer,6 days ago,0
"Fleming Technologies, Inc.",https://www.linkedin.com/company/fleming-technologies-inc.,Junior Software Engineer,1 week ago,0
Pariveda,https://www.linkedin.com/company/pariveda-solutions,Software Engineer,1 day ago,0
Plaid,https://www.linkedin.com/company/plaid-,Software Engineer - Platform,1 week ago,0
Toyota North America,https://www.linkedin.com/company/toyota-north-america,Software Engineer,3 days ago,0
Tinder,https://www.linkedin.com/company/tinder-incorporated,"Software Engineer, Android",4 days ago,75 applicants
Netflix,https://www.linkedin.com/company/netflix,"Software Engineer 4, N-Tech Systems Engineering",5 days ago,0
Microsoft,https://www.linkedin.com/company/microsoft,Software Engineer,2 days ago,0
Sony Interactive Entertainment,https://www.linkedin.com/company/sony-interactive-entertainment-llc,Software Engineer II,1 week ago,0
Handshake,https://www.linkedin.com/company/team-handshake,"Associate Software Engineer, RLE",3 days ago,0
Attentive,https://www.linkedin.com/company/attentivehq,"Software Engineer I, AI Product",1 week ago,0
Uber,https://www.linkedin.com/company/uber-com,Software Engineer I,2 days ago,0
Blossom,https://www.linkedin.com/company/join-blossom-health,Software Engineer (All Levels),3 days ago,0
Stainless,https://www.linkedin.com/company/stainless-api,"Software Engineer, Generalist",1 week ago,0
Verily Health,https://www.linkedin.com/company/verilyhealth,"Software Engineer, Developer Platform",5 days ago,0
